MaritalStatus,Education,AcceptedSummary,Age,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,MntRegularProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue,Customer_Days
Single,Graduation,0,32,27938,1,0,31,13,0,8,2,1,5,24,19,1,1,0,4,3,0,3,11,2221
Married,PhD,0,52,55954,0,1,63,447,0,28,0,0,43,475,432,3,8,2,6,7,0,3,11,2277
Single,Master,1,38,75777,0,0,12,712,26,538,69,13,80,1358,1278,1,3,6,11,1,0,3,11,2519
Together,Graduation,0,45,66653,1,1,18,452,18,102,16,18,6,606,600,4,4,2,12,3,0,3,11,2819
Single,Graduation,0,68,61823,0,1,26,523,7,134,37,14,169,715,546,4,8,2,10,7,0,3,11,2655
Widow,PhD,0,69,67680,0,1,8,546,0,48,0,6,6,600,594,1,7,3,8,5,0,3,11,2542
Together,Graduation,0,72,70666,0,0,29,398,40,367,119,122,30,1046,1016,1,7,4,4,4,0,3,11,2364
Married,Graduation,1,49,25721,1,0,75,1,3,6,3,6,15,19,4,1,1,1,2,7,0,3,11,2563
Together,Graduation,0,53,32474,1,1,0,10,0,1,0,0,0,11,11,1,1,0,2,7,0,3,11,2208
Single,Post Degree,1,41,88194,0,1,19,688,14,309,201,24,38,1236,1198,1,11,10,10,5,0,3,11,2261
Together,Graduation,0,62,69096,0,1,4,247,49,159,7,82,109,544,435,1,5,2,10,4,0,3,11,2434
Together,Graduation,0,50,74854,1,2,90,856,59,487,58,29,73,1489,1416,7,2,5,5,5,0,3,11,2606
Married,Master,0,66,66991,0,0,1,496,36,460,189,60,12,1241,1229,3,4,8,6,3,0,3,11,2815
Married,Graduation,0,61,65031,0,1,29,258,107,291,84,37,86,777,691,4,10,3,13,7,0,3,11,2628
Married,PhD,1,45,60631,1,1,88,565,6,65,0,6,19,642,623,5,9,2,8,7,0,3,11,2609
Married,Graduation,0,68,28332,0,0,58,14,10,13,4,15,9,56,47,1,2,1,4,2,0,3,11,2219
Divorced,Graduation,0,43,40246,1,0,68,2,1,6,2,1,1,12,11,1,1,0,2,6,0,3,11,2716
Married,Master,1,48,75251,0,0,34,721,111,925,97,18,18,1872,1854,1,7,6,5,5,0,3,11,2830
Single,Graduation,1,44,75825,0,0,40,1032,105,779,137,105,51,2158,2107,0,5,8,9,4,0,3,11,2784
Together,Post Degree,0,44,26326,0,0,12,1,0,5,0,3,9,9,0,1,0,0,3,3,1,3,11,2457
Together,Graduation,1,55,56046,0,0,9,577,0,64,0,0,51,641,590,2,10,1,8,8,0,3,11,2702
Single,Graduation,0,35,29760,1,0,87,64,4,68,7,5,17,148,131,4,3,1,4,8,0,3,11,2828
Married,Graduation,0,51,26304,1,0,5,4,1,5,2,0,4,12,8,1,1,0,2,7,0,3,11,2530
Married,Post Degree,0,47,23559,1,0,87,25,5,19,7,0,23,56,33,3,3,0,3,7,0,3,11,2520
Together,Master,0,57,38620,0,0,56,112,17,44,34,22,89,229,140,1,2,5,3,3,0,3,11,2573
Divorced,Graduation,0,33,81361,0,0,18,163,23,424,27,65,76,702,626,1,3,10,13,1,0,3,11,2283
Married,Graduation,0,60,29440,1,1,95,17,8,14,10,4,3,53,50,2,1,0,4,7,0,3,11,2481
Married,Master,1,50,36138,1,1,48,130,0,16,0,0,5,146,141,5,3,1,4,7,0,3,11,2507
Single,Graduation,1,63,50388,0,1,3,292,6,37,0,3,34,338,304,4,6,1,6,7,0,3,11,2191
Married,Graduation,1,47,79593,0,0,70,350,60,568,110,133,145,1221,1076,1,5,6,7,2,0,3,11,2207
Together,Graduation,0,53,54178,0,1,79,135,9,39,4,0,7,187,180,1,2,2,5,2,0,3,11,2318
Single,Master,0,48,42394,1,0,69,15,2,10,0,1,4,28,24,1,1,0,3,7,0,3,11,2257
Married,PhD,0,50,23626,1,0,84,27,2,14,0,0,0,43,43,3,3,1,3,5,0,3,11,2195
Married,Graduation,0,37,30096,1,0,30,5,3,11,12,5,9,36,27,1,2,0,3,6,0,3,11,2197
Widow,Graduation,1,60,47916,0,1,72,505,0,26,0,0,75,531,456,5,7,4,6,6,0,3,11,2743
Divorced,Graduation,0,48,51813,1,1,37,51,2,7,0,1,2,61,59,2,2,0,3,7,0,3,11,2603
Married,Post Degree,1,69,78497,0,0,44,207,26,447,75,0,223,755,532,1,5,7,12,2,0,3,11,2369
Married,PhD,0,37,50150,0,0,32,135,46,92,65,61,11,399,388,2,5,2,7,5,0,3,11,2533
Single,Post Degree,0,60,47823,0,1,0,53,1,5,2,1,10,62,52,2,2,0,3,8,0,3,11,2500
Single,PhD,0,61,34554,0,1,43,41,1,6,2,0,5,50,45,2,2,0,3,6,0,3,11,2250
Together,Graduation,0,41,85693,0,1,59,386,172,183,185,132,111,1058,947,2,9,5,11,5,0,3,11,2594
Married,PhD,0,75,65846,0,0,68,562,81,276,80,40,81,1039,958,1,6,3,6,4,0,3,11,2567
Married,Graduation,1,61,87195,0,0,35,217,76,690,50,26,38,1059,1021,1,3,11,5,1,0,3,11,2211
Together,Basic,0,41,24594,1,0,94,1,3,6,10,0,9,20,11,1,1,0,3,5,0,3,11,2360
Married,Graduation,0,56,49096,1,1,15,144,1,32,2,1,7,180,173,4,4,1,4,7,0,3,11,2437
Married,Graduation,0,51,52413,0,2,56,295,106,271,75,98,65,845,780,4,6,4,12,6,0,3,11,2671
Single,Graduation,0,42,38557,1,0,17,76,3,31,4,4,27,118,91,2,3,1,3,7,0,3,11,2716
Married,Master,0,60,89058,0,0,18,454,194,106,31,22,43,807,764,1,5,4,4,2,0,3,11,2728
Together,Graduation,0,41,77298,0,1,46,425,115,292,23,35,79,890,811,1,6,6,11,3,0,3,11,2398
Single,PhD,1,29,68126,0,0,40,1332,17,311,23,51,86,1734,1648,1,7,4,5,9,0,3,11,2755
Together,Master,1,57,57288,0,1,27,527,0,21,0,0,60,548,488,3,8,1,8,6,0,3,11,2163
Single,Graduation,1,29,86037,0,0,95,490,44,125,29,20,22,708,686,1,6,7,11,3,0,3,11,2702
Married,PhD,0,40,43974,1,0,19,378,0,101,0,0,72,479,407,5,6,4,6,7,0,3,11,2723
Single,Graduation,0,58,50785,1,1,27,64,1,21,0,1,27,87,60,2,2,1,3,6,0,3,11,2451
Married,Graduation,1,50,90765,0,0,25,547,99,812,151,82,33,1691,1658,0,4,6,5,1,0,3,11,2315
Married,Post Degree,0,42,36550,1,0,74,47,90,94,123,103,120,457,337,5,9,1,5,9,0,3,11,2654
Together,Post Degree,0,53,30753,1,1,85,12,5,25,0,9,30,51,21,2,1,1,3,5,0,3,11,2512
Together,Graduation,0,51,21918,1,0,37,1,6,7,11,5,3,30,27,2,2,0,3,6,0,3,11,2386
Together,Master,0,67,56129,0,1,65,320,48,133,39,72,48,612,564,4,6,2,10,4,0,3,11,2533
Single,Master,1,53,32557,1,0,13,34,3,29,0,4,10,70,60,3,2,1,3,5,0,3,11,2284
Married,Master,0,35,19510,2,0,63,9,0,7,3,4,7,23,16,2,1,0,3,7,0,3,11,2457
Divorced,Graduation,0,44,30992,1,0,83,17,0,14,7,3,2,41,39,1,1,0,3,7,0,3,11,2592
Single,Graduation,1,37,101970,0,0,69,722,27,102,44,72,168,967,799,0,6,8,13,2,0,3,11,2633
Together,Post Degree,0,55,71488,0,0,87,162,33,124,40,28,172,387,215,2,3,4,7,1,0,3,11,2655
Single,Graduation,1,36,79607,0,0,37,450,133,951,173,0,216,1707,1491,1,3,6,6,1,0,3,11,2593
Married,Master,0,67,54348,1,1,51,70,0,16,0,0,4,86,82,2,2,0,4,6,0,3,11,2180
Together,PhD,0,64,77376,1,1,72,492,19,110,16,12,12,649,637,4,6,3,10,4,0,3,11,2209
Married,Graduation,0,68,62998,0,1,10,120,58,73,65,89,58,405,347,5,5,4,5,5,0,3,11,2431
Single,Master,0,62,61331,1,1,42,534,5,47,0,5,41,591,550,5,11,1,6,8,0,3,11,2635
Married,Graduation,0,51,73448,0,0,10,236,106,189,23,41,130,595,465,1,7,2,9,4,0,3,11,2298
Married,PhD,0,56,41551,1,1,51,220,0,33,3,0,23,256,233,5,5,1,5,8,0,3,11,2478
Together,PhD,1,53,62981,0,0,21,796,14,590,38,44,0,1482,1482,1,4,5,13,3,0,3,11,2628
Divorced,Basic,0,44,9548,1,0,31,0,1,3,10,6,9,20,11,2,1,0,3,8,0,3,11,2849
Married,PhD,0,61,33762,2,1,61,53,1,34,2,0,16,90,74,3,2,2,2,8,0,3,11,2516
Single,PhD,1,47,35860,1,1,37,15,0,8,4,2,20,29,9,2,1,1,2,5,0,3,11,2200
Divorced,PhD,0,55,36921,1,1,74,17,1,12,3,1,4,34,30,2,2,0,3,7,0,3,11,2495
Single,Master,0,28,92859,0,0,46,962,61,921,52,61,20,2057,2037,1,5,4,12,2,0,3,11,2777
Together,Master,1,44,65104,0,1,4,738,0,232,13,20,50,1003,953,2,3,5,7,7,0,3,11,2386
Married,Graduation,0,58,86111,0,0,73,399,28,756,36,40,126,1259,1133,1,5,7,10,2,0,3,11,2595
Single,PhD,0,46,68352,0,1,47,614,16,132,43,33,33,838,805,3,8,5,9,6,0,3,11,2464
Together,Graduation,0,32,41883,1,0,13,32,34,41,73,16,116,196,80,3,4,2,3,7,0,3,11,2626
Married,Graduation,0,44,59809,0,2,36,598,16,141,32,41,49,828,779,3,3,3,6,8,0,3,11,2778
Married,Graduation,1,45,23957,1,0,47,2,1,18,20,11,16,52,36,1,2,0,3,6,0,3,11,2768
Together,Graduation,0,39,38547,1,0,49,6,1,10,0,1,4,18,14,1,1,0,2,8,1,3,11,2464
Married,Post Degree,0,47,35688,2,1,94,73,3,90,12,1,32,179,147,7,4,1,4,8,0,3,11,2835
Married,Master,0,54,49605,0,0,65,42,16,29,12,20,8,119,111,1,2,1,4,3,0,3,11,2167
Married,Master,0,67,59354,0,2,59,295,21,78,39,13,13,446,433,1,4,4,7,3,0,3,11,2225
Married,Graduation,1,51,65747,0,1,96,346,17,48,23,13,13,447,434,4,8,1,6,6,0,3,11,2273
Together,Post Degree,0,48,46344,0,1,28,233,20,57,8,20,91,338,247,4,7,1,5,7,0,3,11,2721
Single,Graduation,0,32,34176,1,0,12,5,7,24,19,14,20,69,49,4,3,0,4,6,0,3,11,2207
Together,PhD,0,68,61010,0,1,57,888,0,57,0,0,76,945,869,2,8,5,11,5,0,3,11,2787
Together,Graduation,1,71,69372,0,0,10,997,26,269,34,13,42,1339,1297,1,10,4,6,4,0,3,11,2654
Single,Graduation,0,62,49967,0,1,4,212,6,69,4,12,3,303,300,3,6,1,5,7,0,3,11,2515
Single,Graduation,0,42,60199,1,2,49,8,1,7,2,0,0,18,18,1,0,0,3,4,0,3,11,2449
Together,Graduation,0,43,55375,0,1,3,42,11,57,10,28,14,148,134,1,1,1,6,2,0,3,11,2414
Single,Graduation,0,65,80317,0,0,64,536,11,387,149,91,57,1174,1117,1,3,4,10,1,0,3,11,2472
Single,Master,0,62,30523,2,1,0,5,0,3,0,0,5,8,3,1,1,0,2,7,0,3,11,2522
Married,PhD,0,75,70356,0,0,20,1349,16,249,43,16,33,1673,1640,2,10,6,9,6,0,3,11,2760
Married,Graduation,0,36,23228,1,0,91,53,3,49,7,4,5,116,111,4,3,0,4,8,0,3,11,2334
Divorced,PhD,0,45,74165,0,0,9,1001,12,240,16,12,12,1281,1269,1,5,4,10,2,0,3,11,2583
Together,Graduation,0,54,43482,2,1,83,18,1,32,6,3,28,60,32,3,2,0,4,6,0,3,11,2387
Divorced,Graduation,1,67,62551,0,0,27,125,16,98,134,21,27,394,367,1,6,7,4,3,0,3,11,2382
Divorced,Graduation,1,61,52332,0,0,63,212,5,33,7,0,2,257,255,1,3,2,6,4,0,3,11,2464
Single,Graduation,0,32,66951,0,0,46,277,162,305,173,76,124,993,869,1,3,4,7,1,0,3,11,2398
Together,Graduation,0,63,26091,1,1,84,15,10,19,8,17,20,69,49,3,2,1,3,5,0,3,11,2283
Together,Graduation,0,55,33456,1,1,58,7,3,10,8,1,7,29,22,2,1,0,3,7,0,3,11,2228
Married,Graduation,0,38,28718,1,0,78,12,4,6,11,8,16,41,25,2,2,0,3,8,0,3,11,2510
Married,Graduation,0,50,50447,2,0,4,85,7,24,2,3,27,121,94,1,3,1,3,6,0,3,11,2228
Together,PhD,0,61,53537,1,1,17,81,0,6,0,0,6,87,81,2,2,1,3,5,0,3,11,2309
Single,Graduation,1,53,52074,0,1,77,59,0,12,0,0,48,71,23,1,2,2,2,4,0,3,11,2245
Married,PhD,0,45,80427,0,1,56,1149,71,449,69,71,26,1809,1783,1,11,8,8,5,0,3,11,2814
Married,PhD,1,72,83837,0,0,79,847,66,119,86,89,111,1207,1096,1,9,10,5,4,0,3,11,2719
Married,PhD,0,50,38853,1,1,90,29,0,14,0,0,2,43,41,2,2,0,3,7,0,3,11,2196
Together,Graduation,0,61,38285,2,1,96,2,0,5,2,0,1,9,8,1,0,0,3,2,0,3,11,2164
Married,Post Degree,1,69,78497,0,0,44,207,26,447,75,0,223,755,532,1,5,7,12,2,0,3,11,2369
Married,PhD,0,44,51650,0,1,81,152,3,22,2,5,7,184,177,1,4,1,4,5,0,3,11,2208
Married,Post Degree,0,32,16248,1,0,77,12,11,10,3,12,9,48,39,3,2,1,3,6,0,3,11,2209
Married,Master,0,74,66835,0,0,21,620,26,195,34,17,141,892,751,1,6,4,13,2,0,3,11,2433
Married,Master,0,36,30477,1,0,16,47,1,6,0,0,12,54,42,1,1,1,3,6,0,3,11,2317
Married,Basic,0,59,28249,0,0,80,1,9,7,2,14,10,33,23,1,2,0,3,6,0,3,11,2173
Married,Graduation,0,37,25271,1,0,45,10,1,18,10,4,7,43,36,1,1,1,2,9,0,3,11,2730
Single,PhD,0,50,32303,0,1,63,35,0,2,0,0,2,37,35,2,1,0,4,5,0,3,11,2272
Married,Graduation,0,54,61286,0,1,34,356,0,107,19,9,117,491,374,2,7,1,8,5,0,3,11,2490
Married,Graduation,0,44,74068,0,0,14,783,30,537,140,76,15,1566,1551,1,4,10,9,2,0,3,11,2626
Married,PhD,0,56,45759,1,1,13,42,1,18,3,0,4,64,60,2,2,0,3,7,0,3,11,2650
Together,Basic,1,42,24882,1,0,52,1,4,10,29,0,36,44,8,1,1,1,2,6,0,3,11,2817
Together,PhD,0,31,66973,0,0,98,466,22,432,147,113,102,1180,1078,1,8,7,12,3,0,3,11,2567
Married,Graduation,0,32,38872,1,0,93,23,3,21,3,19,22,69,47,2,3,0,3,8,0,3,11,2554
Married,Graduation,0,47,51148,1,1,38,235,6,45,8,9,12,303,291,4,5,1,6,6,0,3,11,2655
Married,Graduation,0,43,31353,1,1,24,10,0,10,3,1,7,24,17,2,1,1,2,8,0,3,11,2341
Married,Master,0,40,69661,0,0,80,656,16,106,32,16,8,826,818,1,7,3,12,3,0,3,11,2206
Married,Graduation,1,66,80067,0,0,82,519,17,813,27,173,51,1549,1498,1,4,6,6,2,0,3,11,2442
Married,Graduation,0,66,86718,0,0,20,344,189,482,50,33,172,1098,926,1,5,6,5,2,0,3,11,2687
Single,PhD,1,47,46854,1,1,81,96,1,79,7,1,79,184,105,6,5,1,3,8,0,3,11,2249
Divorced,Graduation,1,68,69142,0,1,50,448,4,34,6,4,39,496,457,3,8,1,7,5,0,3,11,2159
Single,Graduation,0,52,75922,0,0,60,265,138,553,224,23,92,1203,1111,1,4,4,9,1,0,3,11,2361
Divorced,Graduation,0,42,63693,0,1,63,587,43,337,42,87,54,1096,1042,3,11,6,9,6,0,3,11,2417
Together,PhD,1,43,102160,0,0,54,763,29,138,76,176,58,1182,1124,0,7,9,10,4,0,3,11,2763
Single,PhD,0,55,40637,1,1,72,22,0,13,0,0,3,35,32,2,1,0,3,7,0,3,11,2506
Single,Master,1,36,18890,0,0,5,6,4,1,7,2,15,20,5,1,0,1,2,6,0,3,11,2755
Together,Graduation,1,32,29604,1,0,88,7,6,13,7,6,14,39,25,1,1,0,3,9,0,3,11,2362
Divorced,Master,0,57,48721,1,1,50,81,18,113,47,13,21,272,251,6,4,2,5,6,0,3,11,2571
Married,Graduation,0,54,44794,0,1,99,54,0,7,0,0,4,61,57,1,2,0,3,6,0,3,11,2180
Divorced,Graduation,1,66,64497,0,1,17,1170,48,320,42,32,192,1612,1420,5,11,4,9,8,0,3,11,2816
Together,Graduation,0,64,46097,0,1,11,72,24,68,65,4,8,233,225,5,3,1,6,4,0,3,11,2614
Together,Graduation,0,66,77972,0,0,18,613,22,319,33,102,12,1089,1077,1,4,6,9,1,0,3,11,2262
Married,PhD,0,52,44377,1,1,70,224,0,30,0,0,10,254,244,8,5,1,5,8,0,3,11,2791
Together,Master,0,46,46014,1,1,21,410,0,59,19,9,44,497,453,10,7,1,8,7,0,3,11,2683
Married,Graduation,0,35,70951,0,0,66,239,10,554,254,87,54,1144,1090,1,3,4,9,1,0,3,11,2580
Married,Graduation,0,43,41443,1,0,79,171,7,171,25,19,89,393,304,6,8,1,5,8,0,3,11,2248
Single,Post Degree,0,42,52195,2,1,2,12,0,4,0,0,1,16,15,1,1,0,2,8,0,3,11,2207
Married,Master,1,72,83790,0,0,81,1076,16,417,42,48,16,1599,1583,1,8,10,6,3,0,3,11,2385
Widow,Master,0,66,44551,0,1,24,182,4,33,0,0,66,219,153,2,4,1,5,7,0,3,11,2461
Together,Graduation,0,40,69508,1,0,48,824,32,162,42,32,43,1092,1049,2,11,4,11,6,0,3,11,2751
Together,Post Degree,0,32,45204,1,0,93,30,11,25,29,1,18,96,78,1,1,1,4,3,0,3,11,2238
Married,Graduation,0,51,72460,0,0,56,377,10,540,80,30,10,1037,1027,1,3,5,7,1,0,3,11,2386
Together,PhD,0,50,77622,0,2,3,520,7,154,19,0,14,700,686,2,6,3,11,3,0,3,11,2235
Married,PhD,0,40,30732,1,0,44,155,1,25,0,1,3,182,179,4,4,1,4,8,0,3,11,2699
Divorced,Graduation,0,58,63887,0,1,38,897,23,207,15,11,92,1153,1061,5,9,6,12,6,0,3,11,2818
Together,Graduation,0,42,42011,1,0,46,131,0,16,2,1,39,150,111,4,3,1,4,8,0,3,11,2619
Together,Graduation,0,44,51369,0,1,84,297,7,79,0,11,182,394,212,2,8,2,4,8,0,3,11,2771
Divorced,Graduation,0,68,51537,0,1,27,787,20,204,0,0,92,1011,919,3,2,2,11,8,0,3,11,2726
Married,PhD,0,48,79930,0,0,72,792,86,740,67,51,17,1736,1719,1,3,5,8,2,0,3,11,2849
Together,PhD,0,34,34320,1,0,66,4,1,9,3,0,0,17,17,1,1,0,2,8,0,3,11,2292
Single,Graduation,1,54,37070,1,1,30,231,7,137,4,15,39,394,355,9,5,1,8,7,0,3,11,2625
Divorced,Post Degree,1,58,81975,0,1,2,983,76,184,180,138,27,1561,1534,1,6,3,4,7,0,3,11,2699
Together,Graduation,0,49,38590,1,0,65,3,1,8,4,3,3,19,16,1,1,0,2,8,0,3,11,2569
Single,Graduation,0,69,15033,0,0,37,0,4,5,6,0,4,15,11,1,1,0,3,3,0,3,11,2233
Married,PhD,0,55,62745,0,1,89,562,21,464,28,10,32,1085,1053,3,7,8,11,5,0,3,11,2622
Married,Post Degree,0,45,22212,1,0,49,5,9,20,6,8,21,48,27,2,2,0,4,6,0,3,11,2361
Together,Master,0,38,23661,1,0,46,18,0,4,0,0,1,22,21,1,1,0,3,7,0,3,11,2366
Single,PhD,0,62,79761,0,1,32,415,5,124,15,35,11,594,583,1,5,2,11,3,0,3,11,2427
Single,Graduation,0,47,7500,1,0,54,5,3,10,12,7,20,37,17,4,3,1,3,7,0,3,11,2344
Widow,Graduation,1,52,73455,0,0,98,901,61,757,186,163,20,2068,2048,1,6,5,10,3,0,3,11,2403
Together,Graduation,0,62,64961,0,1,97,382,114,276,75,124,38,971,933,2,6,4,4,3,0,3,11,2712
Single,Graduation,0,49,22804,1,0,75,14,1,7,2,1,1,25,24,1,2,0,2,9,0,3,11,2492
Married,Graduation,1,30,73687,0,0,8,559,153,503,218,13,181,1446,1265,1,3,9,9,2,0,3,11,2372
Married,Graduation,0,62,61074,0,1,37,789,0,133,0,28,152,950,798,7,11,5,8,7,0,3,11,2840
Married,PhD,0,56,31686,1,1,31,11,0,5,0,0,1,16,15,2,1,0,3,6,0,3,11,2183
Married,Graduation,1,48,80134,1,0,40,1218,16,272,104,0,80,1610,1530,2,5,3,6,6,0,3,11,2564
Married,Graduation,0,67,75027,0,1,74,925,64,179,133,12,77,1313,1236,2,9,4,6,5,0,3,11,2695
Married,PhD,0,32,67546,0,0,90,864,134,768,150,38,172,1954,1782,1,4,10,5,3,0,3,11,2826
Together,Master,0,51,65176,0,1,57,960,28,183,220,70,70,1461,1391,4,9,6,6,6,0,3,11,2767
Single,Master,0,45,31160,1,0,59,16,3,25,6,1,13,51,38,2,2,0,3,8,0,3,11,2445
Single,Graduation,0,35,29938,1,0,52,3,3,7,0,2,11,15,4,2,1,0,3,6,0,3,11,2404
Divorced,Graduation,1,46,102692,0,0,5,168,148,444,32,172,148,964,816,1,6,9,13,2,0,3,11,2609
Together,Post Degree,0,62,26490,0,0,92,45,47,52,21,20,25,185,160,2,3,1,5,6,0,3,11,2804
Together,Graduation,0,53,75702,1,1,77,650,28,353,45,42,30,1118,1088,5,4,6,11,8,0,3,11,2828
Single,PhD,0,46,30899,1,0,35,24,0,8,0,0,1,32,31,2,1,0,3,6,0,3,11,2783
